player_url,season_end_year,target_market_value,method
https://www.transfermarkt.com/aaron-anselmino/profil/spieler/1145504,2023,100000.0,Method 2: Jul-Sep
https://www.transfermarkt.com/aaron-anselmino/profil/spieler/1145504,2024,3000000.0,Method 1: June
https://www.transfermarkt.com/aaron-anselmino/profil/spieler/1145504,2025,8000000.0,Method 4: Oct-Mar
https://www.transfermarkt.com/aaron-boupendza/profil/spieler/427605,2019,150000.0,Method 1: June
https://www.transfermarkt.com/aaron-boupendza/profil/spieler/427605,2020,100000.0,Method 2: Jul-Sep
https://www.transfermarkt.com/aaron-boupendza/profil/spieler/427605,2021,8500000.0,Method 3: Apr-May
https://www.transfermarkt.com/aaron-boupendza/profil/spieler/427605,2022,7000000.0,Method 3: Apr-May
https://www.transfermarkt.com/aaron-boupendza/profil/spieler/427605,2023,8000000.0,Method 1: June
https://www.transfermarkt.com/aaron-boupendza/profil/spieler/427605,2024,5000000.0,Method 1: June
https://www.transfermarkt.com/aaron-boupendza/profil/spieler/427605,2025,3300000.0,Method 4: Oct-Mar
https://www.transfermarkt.com/aaron-ciammaglichella/profil/spieler/724108,2024,1000000.0,Method 1: June
https://www.transfermarkt.com/aaron-ciammaglichella/profil/spieler/724108,2025,1000000.0,Method 4: Oct-Mar
https://www.transfermarkt.com/aaron-connolly/profil/spieler/434207,2019,2500000.0,Method 2: Jul-Sep
https://www.transfermarkt.com/aaron-connolly/profil/spieler/434207,2020,4000000.0,Method 3: Apr-May
https://www.transfermarkt.com/aaron-connolly/profil/spieler/434207,2021,7000000.0,Method 1: June
https://www.transfermarkt.com/aaron-connolly/profil/spieler/434207,2022,6000000.0,Method 3: Apr-May
https://www.transfermarkt.com/aaron-connolly/profil/spieler/434207,2023,4000000.0,Method 1: June
https://www.transfermarkt.com/aaron-connolly/profil/spieler/434207,2024,2500000.0,Method 3: Apr-May
https://www.transfermarkt.com/aaron-connolly/profil/spieler/434207,2025,2500000.0,Method 4: Oct-Mar
https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,2019,10000000.0,Method 1: June
https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,2020,6500000.0,Method 3: Apr-May
https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,2021,5000000.0,Method 1: June
https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,2022,3000000.0,Method 1: June
https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,2023,1200000.0,Method 1: June
https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,2024,900000.0,Method 3: Apr-May
https://www.transfermarkt.com/aaron-cresswell/profil/spieler/92571,2025,700000.0,Method 4: Oct-Mar
https://www.transfermarkt.com/aaron-donnelly/profil/spieler/624243,2023,400000.0,Method 3: Apr-May
https://www.transfermarkt.com/aaron-donnelly/profil/spieler/624243,2024,500000.0,Method 3: Apr-May
https://www.transfermarkt.com/aaron-donnelly/profil/spieler/624243,2025,400000.0,Method 4: Oct-Mar
https://www.transfermarkt.com/aaron-escandell/profil/spieler/284430,2019,300000.0,Method 1: June
https://www.transfermarkt.com/aaron-escandell/profil/spieler/284430,2020,1000000.0,Method 2: Jul-Sep
https://www.transfermarkt.com/aaron-escandell/profil/spieler/284430,2021,1000000.0,Method 1: June
https://www.transfermarkt.com/aaron-escandell/profil/spieler/284430,2022,1000000.0,Method 1: June
https://www.transfermarkt.com/aaron-escandell/profil/spieler/284430,2023,1000000.0,Method 1: June
https://www.transfermarkt.com/aaron-escandell/profil/spieler/284430,2024,1000000.0,Method 1: June
https://www.transfermarkt.com/aaron-escandell/profil/spieler/284430,2025,1000000.0,Method 4: Oct-Mar
